Time,ox_n2_p,ox_tank_p,ox_ereg_angle,ox_feedforward,ox_proportional_term,ox_kp,fuel_n2_p,fuel_tank_p,fuel_ereg_angle,fuel_feedforward,fuel_proportional_term,fuel_kp,chamber_p,ox_inj_p,fuel_inj_p,fuel_inj_T,fuel_vdot,impulse_integral,ox_main_angle,fuel_main_angle,thrust,n2_fill_p
7.123400390624965,21.00655542592949,11.043323279110941,352.6409687711558,20.301423872636562,3.562000242690485e-40,15.0,24.99376051456197,25.445737848644622,1298.0,114.84895282769695,4.2952676543644105e-40,15.0,-17.313018798828125,8.967748641967773,18.70761489868164,62.671875,4.661290645599365,705918656.0,66.0,66.0,-143.59573951600987,217.79993112709812
7.323460205078163,19.514052149702955,10.330515700128739,353.0,20.328619197615716,3.847390064326168e-40,15.0,23.10504295698264,23.452493774904706,1298.0,114.85984502776547,-5.0933023308783406e-39,15.0,-17.27366065979004,8.394532203674316,16.853479385375977,62.390625,4.994067192077637,823417344.0,66.0,66.0,-137.00531975209807,217.12290217419985
7.526975097656305,18.066726092303796,9.625509770326927,353.0,20.35743300864376,1.3091956452083505e-41,15.0,21.5110578121639,21.679946770360182,1298.0,114.87014034049943,-5.0933023308783406e-39,15.0,-17.50132942199707,8.032170295715332,15.677408218383787,62.6640625,4.813669204711914,955113792.0,66.0,66.0,-143.84309647847323,217.09603197708898
7.725948974609423,16.972797880629958,8.996894091923867,353.0,20.382705282987377,3.5956175503126435e-40,15.0,20.098124210062412,20.16235121266058,1298.0,114.88025588242553,-4.967934563742092e-39,15.0,-17.590288162231445,7.353660106658935,14.403477668762209,62.984375,4.970947265625,1079261440.0,66.0,66.0,-158.7645137606322,217.12855016915955
7.924442626953123,15.982965448875122,8.415319584188298,353.3083418086617,20.4071471751966,3.843692167659295e-40,15.0,18.986031488152648,18.880513911608656,1298.0,114.88900259366325,-0.013150595532264206,15.0,-17.715843200683594,6.862698078155518,13.466914176940918,63.40625,4.865683555603027,1219690112.0,66.0,66.0,-141.04152585856875,217.19197276300997
8.126046386718826,15.078952208266433,7.873621994548895,353.97067589809103,20.431223185092584,1.6296029200927201e-41,15.0,17.947203275058097,17.74456163252577,1298.0048004959815,114.89790022412362,-2.8534235779283423,15.0,-17.961593627929688,6.440911769866943,12.676017761230469,63.6484375,5.119006156921387,1368048896.0,66.0,66.0,-148.44917591311827,217.12562057441073
8.327232666015675,14.314073720270537,7.371640774040233,354.0,20.454125688157326,3.5971382630193135e-40,15.0,16.98339791635485,16.77456433116925,1299.0,114.906880432133,-4.96784413992106e-39,15.0,-17.698225021362305,6.005284309387207,11.949877738952637,64.0078125,4.944196224212647,1479901696.0,66.0,66.0,-151.0993893069823,217.19074981200177
8.527729980468735,13.643962169722757,6.911194758505605,354.0,20.475248959735612,3.8161692190631475e-40,15.0,16.274647808915134,15.90764157614401,1299.0,114.91398848262543,5.557213397880786e-40,15.0,-16.585594177246094,5.618570804595947,11.281490325927734,64.125,4.89502477645874,1497263360.0,66.0,66.0,-155.72518250659627,217.1030119586354
8.727532958984398,13.069733526287889,6.493815900101817,354.0,20.49450103454434,1.8253147485642717e-41,15.0,15.531323409718919,15.157915018383608,1299.0,114.9219482338128,5.557213397880786e-40,15.0,-17.140043258666992,5.289251804351807,10.709766387939451,64.3125,4.93952226638794,1662999936.0,66.0,66.0,-155.2021726245662,217.1821827993548
8.931530517578153,12.520669053299008,6.098193603814859,354.6570762425894,20.514664529433716,3.651512898747272e-40,15.0,14.871014851520933,14.429632504201258,1299.0,114.92952949290924,5.557213397880786e-40,15.0,-17.959592819213867,4.990228176116943,10.228763580322266,64.4296875,4.867465496063232,1876614656.0,66.0,66.0,-141.22293621459065,217.17588009285913
9.13001538085939,11.999524447966747,5.737617123754257,355.0,20.53482654547753,0.5058547337587774,15.0,14.254725414034569,13.821714538461887,1299.0,114.93706170221107,5.557213397880786e-40,15.0,-18.163013458251957,4.673601150512695,9.722721099853516,64.3515625,4.956545352935791,2049007232.0,66.0,66.0,-149.3469306673164,217.2419623784147
9.330825927734395,11.484075934238199,5.396843308406565,355.0,20.555770118221982,1.5503025587936912,15.0,13.789136200709317,13.258323061554295,1299.0,114.94308770628267,5.557053452468188e-40,15.0,-18.15115737915039,4.400004863739014,9.303144454956056,64.3125,5.119587421417236,2204188928.0,66.0,66.0,-146.0881186846568,217.19564819689165
9.53171850585943,11.079677004132535,5.122959660983462,355.0,20.573676929263232,0.5435205962147103,15.0,13.325072224984567,12.726074906757221,1299.0,114.94940506367864,-9.643214339525128e-10,15.0,-17.749677658081055,4.157032489776611,8.919462203979492,64.25,4.814806938171387,2347520000.0,66.0,66.0,-151.75202172174087,217.09063448562938
9.7624162597657,10.613285865316964,4.809626396715501,355.4159701222895,20.595427370813283,5.557213397880786e-40,15.0,12.740616104522907,12.173429916471655,1299.0,114.95787257908103,0.22686665076944618,15.0,-18.13521194458008,3.903309583663941,8.514412879943848,64.0703125,4.880815982818604,2547799296.0,66.0,66.0,-138.57659168424453,217.21715767978682
9.936767089843784,10.257228257050768,4.572094812487124,355.9793651933192,20.612641241134227,5.557213397880786e-40,15.0,12.31652027720579,11.781177926740533,1299.0,114.96434762271092,1.5264977868821528,15.0,-18.23695182800293,3.716731309890747,8.234949111938477,63.90625,4.998198986053467,2705027072.0,66.0,66.0,-143.97135685962516,217.216184136185
10.130528808593795,9.943268792124545,4.344105969025446,356.0,20.62903324225394,5.557213397880786e-40,15.0,12.011954285986025,11.395498569461804,1299.0,114.96922404023582,0.005410354241520928,15.0,-18.34052848815918,3.539156675338745,7.904151916503906,63.8046875,4.977257251739502,2891763200.0,66.0,66.0,-136.18273104196876,217.2855280065742
10.332809082031304,9.638988106414516,4.118778752480167,356.0,20.64548011788688,5.557213397880786e-40,15.0,11.59551152673077,10.988527242672376,1299.0,114.97620746908396,1.5766187106323957,15.0,-18.34520149230957,3.331421375274658,7.585837841033935,63.375,5.154749393463135,3079500288.0,66.0,66.0,-150.7149179372723,217.23691455492812
10.533797119140672,9.358466945422302,3.9069840941551828,356.0,20.661219252033842,5.557213397880786e-40,15.0,11.25791111595608,10.630009704124717,1299.0,114.98214892395235,5.557213397880786e-40,15.0,-18.37686920166016,3.1857244968414307,7.319572448730469,63.125,4.787535667419434,3280584192.0,66.0,66.0,-137.42421010141618,217.21685884721248
10.734592529296947,9.056020383948027,3.72721702499165,356.0,20.679374265706226,5.557213397880786e-40,15.0,10.873439903528645,10.282696789185817,1299.0,114.98924495032453,-1.5352652513602384e-10,15.0,-18.41443634033203,3.03577208518982,7.047066688537598,62.953125,4.867523193359375,3470660608.0,66.0,66.0,-131.11230332255528,217.19865605398482
10.934479492187506,8.786452267122758,3.5598608240373086,356.31771903421054,20.696089181548462,5.557213397880786e-40,15.0,10.499266908405506,9.978244205189037,1299.0,114.99652399357207,-4.435108159139497e-08,15.0,-18.417407989501957,2.911008596420288,6.805497646331787,62.609375,4.993640422821045,3667930880.0,66.0,66.0,-128.65508413765968,217.1877481127697
11.136838867187521,8.547583947669914,3.4011137223746664,356.9721993673634,20.711476000599138,5.557213397880786e-40,15.0,10.205977514828394,9.643056559454061,1300.0,115.00251015516483,5.557213397880786e-40,15.0,-18.420602798461918,2.777883529663086,6.589400768280029,62.390625,4.926243782043457,3855045888.0,66.0,66.0,-154.3959214816283,217.24494219822222
11.338903564453176,8.83521830157231,3.453786652890629,356.3389747234359,20.693085123438834,5.557213397880786e-40,15.0,9.881160227526648,9.32094156605192,1300.0,115.00944179582375,5.557213397880786e-40,15.0,-18.422557830810547,2.6595253944396973,6.334155082702637,62.2578125,4.904645442962647,4054321664.0,66.0,66.0,-147.01972198031413,217.24329372993768
11.541608886718791,8.597305321499183,3.3219395355909667,356.33446264207754,20.70998612854791,5.557213397880786e-40,15.0,9.632320851705872,9.05765400016332,1300.0,115.01499114060944,5.557213397880786e-40,15.0,-18.44979286193848,2.567221641540528,6.117953777313232,62.1171875,5.130231380462647,4269698048.0,66.0,66.0,-141.12320985535862,217.3052962467731
11.740955566406228,7.844915954811366,3.009292739684855,356.9786925161072,20.761351212612748,5.557213397880786e-40,15.0,9.367478424262721,8.78606978024326,1300.0,115.021145573558,5.557213397880786e-40,15.0,-18.49479484558105,2.463376522064209,5.917609214782715,61.90625,4.846307277679443,4494584320.0,66.0,66.0,-151.92822836154684,217.29586115462476
11.94452416992192,7.606262494686653,2.8685651977318467,357.0,20.77976695571285,5.557213397880786e-40,15.0,9.04855701536285,8.549540905509412,1300.0,115.02890087905249,5.557213397880786e-40,15.0,-18.495019912719727,2.37395453453064,5.719161033630371,61.859375,5.093426704406738,4708994048.0,66.0,66.0,-130.57570492644774,217.2758548676265
12.139757812499965,7.392950192632656,2.751455124482583,357.33515613525094,20.79703303704078,5.557213397880786e-40,15.0,8.827140878126302,8.308094426982976,1300.0,115.0345247124626,5.557213397880786e-40,15.0,-18.465574264526367,2.2757232189178467,5.525147438049316,61.6796875,4.849039554595947,4909250048.0,66.0,66.0,-144.43609507702664,217.28828290909263
12.34256738281249,7.170617647972842,2.641585841867004,358.0,20.815592142534587,5.557213397880786e-40,15.0,8.647502573726188,8.074893182143352,1300.0,115.03925215165786,5.557213397880786e-40,15.0,-18.44249153137207,2.188735246658325,5.3636980056762695,61.5546875,4.903938293457031,5125432832.0,66.0,66.0,-147.9743797342129,217.23235600076222
12.541429931640664,7.027173504546067,2.5489132516968582,358.0,20.82826221949619,5.557213397880786e-40,15.0,8.393219429091353,7.838414888125439,1300.0,115.04620448536946,5.557213397880786e-40,15.0,-18.485105514526367,2.105375289916992,5.177359104156494,61.4609375,5.212847232818604,5358383616.0,66.0,66.0,-126.3084202497431,217.25076635525926
12.763999267578129,6.8318142650922224,2.4648097793378647,358.0,20.84616127344245,3.298829131280764e-40,15.0,8.152906236471777,7.613270251656554,1300.0,115.05307530077444,5.557213397880786e-40,15.0,-18.436325073242188,2.0270919799804688,5.008444309234619,61.3359375,5.299289226531982,5583327744.0,66.0,66.0,-140.458512722605,217.30368567789833
12.95452099609372,6.642153740388553,2.4041313829332367,358.0,20.863935642813626,1.5386252492157763e-41,15.0,7.976741399698945,7.413562103649742,1300.0,115.0582982537177,5.557213397880786e-40,15.0,-18.461334228515625,1.9738478660583496,4.849488735198975,61.15625,5.121424198150635,5800512512.0,66.0,66.0,-137.5259128938081,217.14283201182164
13.143514648437531,6.473845261807221,2.303366843547326,358.0,20.88070964625461,3.723275754789611e-40,15.0,7.7198999172638105,7.2247214206893045,1300.0,115.06623461566643,5.557213397880786e-40,15.0,-18.55332374572754,1.9065089225769043,4.698580741882324,61.03125,5.086984157562256,6057079296.0,66.0,66.0,-139.82364505657793,217.2914561461008
